uuid,article_url,article
1741708124-239,https://www.detailingwiki.org/tag/white-label/,"OEM stands for “Original Equipment Manufacturer”, which refers to a company that makes a product that is used in another companies end-product. For example: a Chinese bottle company is the OEM supplier for the bottle of polish you use. There is a lot of confusion on the term, its meaning and its proper use."
1741707994-164,https://www.detailingwiki.org/tag/wiper-judder/,Wiper judder refers to “jumping” wipers that shake/jump/judder when moving over the windscreen. The rubber from the windscreen wiper sticks to the glass surface even though the wiper arm continues to move. The rubber “jumps” over the surface instead of gliding smoothly over the glass.
1741709291-868,https://www.detailingwiki.org/tag/uk/,"Britemax (formerly: Metal Masters) started out in 2004 with a strong focus on metal polishing products. The current range has grown into compounds, glazes, sealants and waxes with several different types of cleaning products. The company originates from the united Kingdom."
1741709466-931,https://www.detailingwiki.org/tag/tufshine/,"Tire dressing is made to restore faded black rubber. After a car has been detailed, you want the car to look spotless in every way. You cleaned the arches, the wheels, washed the car and even gave it a new coat of wax. In that case, you also want the tires to look deep, dark black. A tire dressing is an (mostly) oily product that helps to bring back the deep dark color or rubber."
1741708724-583,https://www.detailingwiki.org/tag/washing-boat/,Wash related content
1741708002-170,https://www.detailingwiki.org/tag/wipe-off/,"IPA stands for IsoPropyl Alcohol, and is a chemical compound often used in the world of detailing to remove polish residue. The liquid is colorless with a strong odor. Caution is required for this liquid is very highly flammable!"
1741710651-1294,https://www.detailingwiki.org/tag/tack-towel/,"A tack cloth (also: tack rag, tac cloth) is a special cloth/towel that is covered by a sticky substance. This allows it to grab dirt and remove it by making it stick to the fabric of the towel."
1741710862-1413,https://www.detailingwiki.org/tag/surface-refining/,"Britemax (formerly: Metal Masters) started out in 2004 with a strong focus on metal polishing products. The current range has grown into compounds, glazes, sealants and waxes with several different types of cleaning products. The company originates from the united Kingdom."
1741708050-198,https://www.detailingwiki.org/tag/windows/,"Removing snow from your vehicle might be necessary before you can safely drive off. Leaving lots of snow on your vehicle can be illegal and result in a fine and/or unsafe situations. Removing the snow safely and properly makes it safer for you and your surrounding, and will prevent surface imperfections that need to be polished out."
1741708188-285,https://www.detailingwiki.org/tag/wheel-brush/,"It is often asked on detailing fora and social media: “what is the best washmitt”. Off course there is a difference between certain products and brands, but it is important to know what you are asking. In this guide I will try to explain what the problem is with this question unless it is asked more in-depth."
1741709451-925,https://www.detailingwiki.org/tag/turbo-clear/,Manufacturers of Detailing related products
1741710813-1383,https://www.detailingwiki.org/tag/swipe-test/,"When you apply a protective product, that product will start to cure. At a certain point, it is ready to be buffed off. But how do you know it is ready? By doing the swipe-test."
1741709754-1038,https://www.detailingwiki.org/tag/towel/,Fiber Bros is a German manufacturer of microfiber-related detailing accessoiries. The brand is fairly fresh in the detailing world but are gathering a strong following in mainland Europe. The company has a very specific focus on products made from microfibers.
1741707862-111,https://www.detailingwiki.org/tag/wood/,"The interior of a car needs regular cleaning, the contaminants found here can be totally different from the outside, which requires different products and different ways of safely removing them."
1741707884-119,https://www.detailingwiki.org/tag/wonder/,A melamine sponge is white sponge that resembles a foam-like sponge. It is often used to remove stubborn stains and provides strong cleaning power with much less surface imperfections then a scouring pad. It is a common products in a detailers arsenal.
1741710163-1152,https://www.detailingwiki.org/tag/three-bucket-method/,"The 3-bucket method is just like the 2-bucket method, a generally accepted safe way to wash a vehicle. The difference is that you use 3 buckets instead of 2. The third bucket can be used for more then 1 different reason."
1741707746-36,https://www.detailingwiki.org/tag/wrapping/,"Applying a wrap to a surface is not extremely difficult, but it needs practice and experience to do it properly. You need to able to see and feel what you have to do. Although the guide below does NOT contain everything you need to know, it can serve as a starting point. If you get better at it, you will slowly learn how to do a better job."
1741709684-997,https://www.detailingwiki.org/tag/traffic-film-remover/,"A touchless wash is type of cleaning method that cleans via chemical cleaning, and doesn’t require any mechanical action. This method is popular for those we are afraid that contact with the surface might cause abrasive marks. Whether touchless washing gives the same results is still a popular topic for debate."
1741709712-1017,https://www.detailingwiki.org/tag/trade-language/,Miscellaneous detailing related content
1741710533-1223,https://www.detailingwiki.org/tag/tesla/,"Detailing an electric engine bay is slightly different to a normal engine bay because the lack of a combustible engine. Electric engine require attention to different aspects then combustion engines. Seeing as electric cars are getting more popular, these will become a common sight in the future."
1741707846-89,https://www.detailingwiki.org/tag/wool-pad/,"When removing paint defects, like scratches or water spot etching, the Kevin Brown Method uses a Finishing Polish instead of the traditional heavy-cut compound. This is done via a combination with a microfiber polishing pad and a random orbital polisher."
1741707799-70,https://www.detailingwiki.org/tag/world-wide/,Manufacturers of Detailing related products
1741710589-1256,https://www.detailingwiki.org/tag/tear/,"Conservation is a large part in the detailing process. It prevent wear and tear and is aimed at maintaining the original properties of the object. Conservation can also be financially rewarding, as is the case with most oldtimers or supercars."
1741710598-1261,https://www.detailingwiki.org/tag/tar-and-glue-remover/,Miscellaneous detailing related content
1741709338-891,https://www.detailingwiki.org/tag/tyre/,"Aluminium brighteners are essentially forms of hydrofluoric acid, which also sold under the type “tire cleaner”. A very similar product is used for etching glass and rust removers. The pure product is extremely toxic and dangerous. Aluminium brightener is another name for “wheel cleaner” or “metal cleaner”."
1741709380-906,https://www.detailingwiki.org/tag/turtle-wax/,"Turtle wax is an American company that produces and sells detailing related products. They offer a wide range of product from the very beginner up to to the professional detailer. Although originating from America, Turtle wax is sold worldwide."
1741710833-1390,https://www.detailingwiki.org/tag/surfbuf-pad/,Articles related to correction
1741709812-1061,https://www.detailingwiki.org/tag/toronto/,"The Detail Guardz is a Canadian manufacturer of detailing and valeting equipment, mainly the Detail Guardz hose-slides with roller system."
1741709431-920,https://www.detailingwiki.org/tag/turbo-shine/,"S.M. Arnold Inc. is an American manufacturer of detailing products that is the backbone of extra brands such as Water Sprite, Speedy surface prep, Speedy Stik and Speedy Super Foamer. The company originates from 1928 and has a wide variety of detailing products."
1741708768-612,https://www.detailingwiki.org/tag/wash/,"A touchless wash is type of cleaning method that cleans via chemical cleaning, and doesn’t require any mechanical action. This method is popular for those we are afraid that contact with the surface might cause abrasive marks. Whether touchless washing gives the same results is still a popular topic for debate."
1741707850-98,https://www.detailingwiki.org/tag/wool/,"A polishing pad is a tool that can be used to apply polish to a surface and process it in a mechanical way. Although these are most commonly used in combination with a machine polisher, there are also polishing pads to be used by hand."
1741709754-1036,https://www.detailingwiki.org/tag/towel/,"Sam’s Detailing is an English manufacturer of detailing products, established in 2013 and most known for their all-black design and informal approach. One of the most known products is the Sam’s Detailing Ceramic Boost."
1741708648-555,https://www.detailingwiki.org/tag/washmitt/,"How do you achieve the results from the videos about detailing? What is being shown in the video, and why? How can you learn from a video showing a detailer in action?"
1741708302-354,https://www.detailingwiki.org/tag/wet-vacuum/,Miscellaneous detailing related content
1741710853-1408,https://www.detailingwiki.org/tag/surface-tension/,Surface tension is the energy a liquid contains that prevents its surface to be deformed by an object with a higher surface tension/energy. The surface energy of water has as a side effect that it can form beads on surfaces with a very low surface energy or high repulsive force.
1741708433-408,https://www.detailingwiki.org/tag/webshop/,Masterson’s Car Care is an American manufacturer of detailing and car care products. The company is based in California and operates mainly in USA. The brand offers a fairly wide range of products.
1741708025-184,https://www.detailingwiki.org/tag/winter/,"When glass has a temperature that is lower then, or equal to 0 degrees Celsius, any water coming in contact with it, will freeze and turn into ice. This is often seen in cold climates or seasons and might require the ice to be removed."
1741708417-391,https://www.detailingwiki.org/tag/weekly-wash/,Wash related content
1741708464-428,https://www.detailingwiki.org/tag/waxedshine/,Manufacturers of Detailing related products
1741710984-1507,https://www.detailingwiki.org/tag/summer/,Washing a car in the summer gives the risk of the sun evaporating the water quicker then it can be dried off. You either have to be quick or smart to prevent waterspots or dried up products. These tips might help you in reducing the risk.
1741708244-330,https://www.detailingwiki.org/tag/wetsanding/,Edging is the practice of polishing around the edges before polishing the rest of the panel. This means that you take the time to polish these relative sensitive areas first before working on the complete panel.This minimizes the risk of a strike through or burn through on the edge of the paintwork.
1741709482-935,https://www.detailingwiki.org/tag/tuff-scuff/,"Armor All is one of the brands from Spectrum Brand inc from Wisconsin, America. The brand has a strong aim at the average consumer and has a wide range of products being offered worldwide."
1741708768-613,https://www.detailingwiki.org/tag/wash/,"Smart Polish Pro is an English manufacturer of detailing products with a strong aim on environmental-friendly products that do not require the use of water. The company is fairly young, but has been growing in popularity in only a few years."
1741710146-1148,https://www.detailingwiki.org/tag/throw/,"A primed pad will outperform a non-primed pad in cutting. So a primed pad should give a great polishing result on your car, but prime your pad for the goal you’re looking for."
1741710563-1234,https://www.detailingwiki.org/tag/tensile-strength/,Miscellaneous detailing related content
1741707726-29,https://www.detailingwiki.org/tag/written-articles/,Miscellaneous detailing related content
1741709397-912,https://www.detailingwiki.org/tag/turning-motion/,"The rotary is often considered to be the adversary of the Dual Action polisher. It is a polishing machine that uses only 1 type of motion to create a polishing effect. It is very good at cutting, works quicker then a DA, but also requires much more experience and knowledge to use properly. Many consider the rotary a medior or senior level of experience machine."
1741708907-681,https://www.detailingwiki.org/tag/vinegar/,"Mold can be common in vehicles that have stood still for a long time, are often exposed to moisture or vehicles that are not cleaned often. Mold is not only unsightly but also dangerous for your health."
1741709108-783,https://www.detailingwiki.org/tag/vacuum/,"The interior of a car needs regular cleaning, the contaminants found here can be totally different from the outside, which requires different products and different ways of safely removing them."
1741709864-1074,https://www.detailingwiki.org/tag/toothbrush/,"Detailing brushes come in all types and sizes and can be used for several different tasks. In general, these are aimed at scrubbing but can sometimes also be used to reach an area that is difficult to reach with a microfiber towel."
1741709684-1004,https://www.detailingwiki.org/tag/traffic-film-remover/,"A traffic film remover is a product that is specifically designed to remove “traffic film”. This is a very fine layer of dust, grime and even oils that cover your car and are notoriously difficult to wash off. A traffic film remover can be wax-safe, but many ar not. This is not a product for the weekly wash, but more to be used once every couple of months. “Traffic film remover” is often shortened to TFR."
1741708512-450,https://www.detailingwiki.org/tag/wax-on-wax-off/,Manufacturers of Detailing related products
1741708907-680,https://www.detailingwiki.org/tag/vinegar/,"Odor removal might be needed when there is a lingering smell inside a vehicle that can be difficult to remove. Most of the time, this originates from a source that can be difficult to reach and/or clean. Certain tools might be needed to remove the odor completely."
1741709352-897,https://www.detailingwiki.org/tag/two-bucket/,Guides to detailing
1741710589-1257,https://www.detailingwiki.org/tag/tear/,"Leather itself has to withstand a lot of abuse over the years. Jeans rubbing over it, dirty clothes, UV, high temperatures, low temperatures, dry air, humid air, liquids, chemicals etc. To keep the leather looking fresh and prevent it from drying out, a leather protection can be used."
1741710630-1280,https://www.detailingwiki.org/tag/tape/,Miscellaneous detailing related content
1741708239-318,https://www.detailingwiki.org/tag/wetting/,Articles related to correction
1741709437-922,https://www.detailingwiki.org/tag/turbo-scrub/,"S.M. Arnold Inc. is an American manufacturer of detailing products that is the backbone of extra brands such as Water Sprite, Speedy surface prep, Speedy Stik and Speedy Super Foamer. The company originates from 1928 and has a wide variety of detailing products."
1741709586-966,https://www.detailingwiki.org/tag/trimnell/,Manufacturers of Detailing related products
1741711053-1540,https://www.detailingwiki.org/tag/stripping-wax/,Articles related to correction
1741708460-425,https://www.detailingwiki.org/tag/waxstock/,"Professional Valeters and Detailers is a trade association in the United Kingdom, that offers a large directory of accredited detailers in their network. By vetting each detailer/valeter in their network they are able to offer a very wide range of skilled and proven detailers in almost all areas."
1741708853-651,https://www.detailingwiki.org/tag/vredestein/,Articles related to decontamination
1741711049-1533,https://www.detailingwiki.org/tag/stroke/,"For removing defects with the Kevin Brown Method we first apply a massive amount of the finishing polish on the pad and massage it in. This is to prime your pad properly, so that the product covers the hole face of the pad."
1741707754-44,https://www.detailingwiki.org/tag/wrap-a-car/,"Applying a wrap to a surface is not extremely difficult, but it needs practice and experience to do it properly. You need to able to see and feel what you have to do. Although the guide below does NOT contain everything you need to know, it can serve as a starting point. If you get better at it, you will slowly learn how to do a better job."
1741709578-965,https://www.detailingwiki.org/tag/trims/,"Not all coatings have enough effect on the oxidized look of UV-damaged plastic. Most dressing restore the look better, but don’t offer the protection of a coating. Combining these 2 seems illogical and difficult, but it isn’t."
1741708480-435,https://www.detailingwiki.org/tag/wax-safe/,Snowfoam is a particular way of pre-cleaning before washing the car with a washmitt or similar. Snowfoam will loosen up dirt and will move a lot of the dirt when it is rinsed off.
1741710146-1146,https://www.detailingwiki.org/tag/throw/,According to Kevin Brown there are different kind of ways to prime your pad. For defect removal we use a different approach in priming the pad than for final polishing.
1741708655-559,https://www.detailingwiki.org/tag/washing-wheels/,"Paintwork gets cleaned very frequently, but tyres not so much. Everybody who knows the word “detailer” or “valeter” probably knows how to safely remove contaminants from the surface of a vehicle. Even when glass is dirty, you’ll quickly see the streaks and your fingers will be itching to reach for the glass cleaner. Most parts of a vehicles gets cleaned frequently, and we have all kinds of products that help us keep our cars/bikes looking sparkly clean."
1741710891-1443,https://www.detailingwiki.org/tag/surface-damage/,"Scratch resistant paint is a holy grail in the world of surface finishes. It would suggest a type of surface finish that either is hard enough to withstand surface impacts, or is capable or reforming its damages surface."
1741708603-521,https://www.detailingwiki.org/tag/water-repelling/,"Hydrophobic is the term used when a surface “pushes away water”. The word means as much as “fear/anxiety for water”. Although there is no actual fear or anxiety, it refers to the effect that looks as if it is pushing away the water. (there is no actual repulsive force involved)"
1741710828-1388,https://www.detailingwiki.org/tag/suspension/,Miscellaneous detailing related content
1741710765-1346,https://www.detailingwiki.org/tag/swissvax/,Manufacturers of Detailing related products
1741708581-504,https://www.detailingwiki.org/tag/water-spritz/,"When removing paint defects, like scratches or water spot etching, the Kevin Brown Method uses a Finishing Polish instead of the traditional heavy-cut compound. This is done via a combination with a microfiber polishing pad and a random orbital polisher."
1741709887-1086,https://www.detailingwiki.org/tag/tools/,"Polish Angel is a German manufacturer and seller of detailing related products. The brand sells shampoo, polish, protective products, but also polish pads, gloves and MF towels. Polish Angel is being sold around the world, but it only has distribution places in and around Germany and America."
1741708197-293,https://www.detailingwiki.org/tag/wheel/,"The caramel disc is a round tool that is used to remove sticker/decal residue and other material that is stuck on the surface. The caramel disc has several different names, such as: decal wheel, caramel wheel, cleaning disc, decal eraser, eraser wheel and/or glue eraser disc."
1741710891-1441,https://www.detailingwiki.org/tag/surface-damage/,Guides to detailing
1741707841-85,https://www.detailingwiki.org/tag/wool-washmitt/,A popular item to be used by detailers and valeters alike is the washmitt. This accessory allows you to safely wash off dirt and grime from a surface with a minimum risk of creating swirls. Thus preserving the finish you achieved after polishing and refining the surface.
1741711120-1565,https://www.detailingwiki.org/tag/strength/,Carbon Fiber is a material that is made up out of extremely thin fibers of carbon. The fibers of roughly 5 to 10 micrometer are build out of stretched carbonfibercrystals. A few thousand of these fibers are woven together to form 1 wire of carbonfiber.
1741710868-1415,https://www.detailingwiki.org/tag/surface-protection/,"Kamikaze is a Japanese manufacturer of high-end coatings that offer outstanding protection for paintwork, glass, trims, wheels and other surfaces. The brand offers a small range of premium-quality products."
1741708335-367,https://www.detailingwiki.org/tag/wet-road/,Miscellaneous detailing related content
1741710146-1141,https://www.detailingwiki.org/tag/throw/,Articles related to correction
1741708239-325,https://www.detailingwiki.org/tag/wetting/,"A primed pad will outperform a non-primed pad in cutting. So a primed pad should give a great polishing result on your car, but prime your pad for the goal you’re looking for."
1741708110-225,https://www.detailingwiki.org/tag/whmis/,"Productlabels should (if applicable) show warning signs based on their MSDS data (Also referred to as PSDS, SDS or WHMIS). These logo’s all have different meanings and give you a good visual warning on the dangerous properties."
1741709898-1093,https://www.detailingwiki.org/tag/tool/,"A Paint Thickness Gauge (often abbreviated to PTG, and also called a Paint Depth Gauge) is an electronic device that measures the distance between the body-panel and the sensor. This way you can measure the thickness of the paint. This gives you an indication of how much paint you have left to work with."
1741708603-520,https://www.detailingwiki.org/tag/water-repelling/,"Fabric protection is a form of treatment designed to prevent the fabric from suffering from contaminants. This could be in the form of liquids, dust, oil and other forms of unwanted particles that could get absorbed into the fibers of the fabric."
1741708202-300,https://www.detailingwiki.org/tag/whc/,"MSDS stands for Material Safety Data Sheet. It can also be referred to as the PSDS, SDS or WHMIS. This system is in place to inform the user on any risks that are linked to the materials and/or ingredients that are being used."
1741707673-6,https://www.detailingwiki.org/tag/zvizzer/,Zvizzer is a Germany based manufacturer of detailing related products. The brand started out with polishing pads and have expanded to include more different products. The company also offers trainings.
1741708231-311,https://www.detailingwiki.org/tag/wetting-agents/,"For removing defects with the Kevin Brown Method we first apply a massive amount of the finishing polish on the pad and massage it in. This is to prime your pad properly, so that the product covers the hole face of the pad."
1741708985-715,https://www.detailingwiki.org/tag/various/,Manufacturers of Detailing related products
1741708433-409,https://www.detailingwiki.org/tag/webshop/,"Microtext is an Asian manufacturer of products aimed at automotive detailing and general car care. The brand has not reached much customers in Europe yet, but has been in business since before 2010."
1741710931-1470,https://www.detailingwiki.org/tag/surbuf/,"For removing defects with the Kevin Brown Method we first apply a massive amount of the finishing polish on the pad and massage it in. This is to prime your pad properly, so that the product covers the hole face of the pad."
1741707710-23,https://www.detailingwiki.org/tag/xpel/,"Paint protection film is a more extreme form of protecting the paintwork of your vehicle. Unlike chemical protectants, a PPF can protect against stone chips, small objects and even some very chemical liquids."
1741707954-149,https://www.detailingwiki.org/tag/wiping-down/,Articles related to decontamination
1741708417-400,https://www.detailingwiki.org/tag/weekly-wash/,"There are multiple ways of drying your car. The most common one is drying with Microfiber towels. However, you can also use a device that blows air for blow-drying off the water. This can especially be handy when you have to deal with small spaces, crevices or trims that can hide water."
1741707692-17,https://www.detailingwiki.org/tag/yellowing/,Carnauba waxes are the traditional automotive paintwork protection. Carnauba wax is secreted by the leaves of a tree in the rainforests of Brazil in order to protect the leaves from the blistering heat. It is one of natures most durable waxes with excellent protective properties that makes it ideal for protecting paint.
1741708183-274,https://www.detailingwiki.org/tag/wheel-cleaner/,"Aluminium brighteners are essentially forms of hydrofluoric acid, which also sold under the type “tire cleaner”. A very similar product is used for etching glass and rust removers. The pure product is extremely toxic and dangerous. Aluminium brightener is another name for “wheel cleaner” or “metal cleaner”."
1741709802-1059,https://www.detailingwiki.org/tag/torque-detail/,"Torque Detail is an American manufacturer of detailing products, established by Frank Mitchell. The company creates products such as Mirror Shine and Ceramic Shine since 2009 after a carreer in flipping cars and detailing vehicles."
1741707998-166,https://www.detailingwiki.org/tag/wiper/,Wiper judder refers to “jumping” wipers that shake/jump/judder when moving over the windscreen. The rubber from the windscreen wiper sticks to the glass surface even though the wiper arm continues to move. The rubber “jumps” over the surface instead of gliding smoothly over the glass.
1741708133-250,https://www.detailingwiki.org/tag/wheels/,"Tire dressing is made to restore faded black rubber. After a car has been detailed, you want the car to look spotless in every way. You cleaned the arches, the wheels, washed the car and even gave it a new coat of wax. In that case, you also want the tires to look deep, dark black. A tire dressing is an (mostly) oily product that helps to bring back the deep dark color or rubber."
1741708231-309,https://www.detailingwiki.org/tag/wetting-agents/,Articles related to correction
1741710491-1206,https://www.detailingwiki.org/tag/tevo/,"TEVO Creations is a raw material supplier/distributor, private label company and also manufacturer/developer of nano-technology based products for the consumer, construction and automotive market. It is one of a few companies like this that originates from Malaysia."
1741708141-256,https://www.detailingwiki.org/tag/wheelcleaner/,"Within detailing, there are many different types of product. Within the group of cleaning products, there are sub-categories. Amongst them is the wheel cleaner. This is a specific cleaning products designed to clean wheels. This product will be specifically aimed at removing dirt that is most common for this area, such as brake dust, grime, mud, tar and several more. Not all wheel cleaners attack all these contaminants, but most attack many of them."
1741709744-1028,https://www.detailingwiki.org/tag/towels/,"Work Stuff is one of a few Polish manufacturers of detailing equipment. The brand originates from Poland and has ditributors and reseller accross Europe. The company focusses mostly towards equipment, accessories and towel. The brand is often recognized because of their destincive yellow color."
1741708495-442,https://www.detailingwiki.org/tag/wax-product/,Vonixx is a Brazil based manufacturer of several carnauba based detailing products. The company has been active since 2005 and was formerly known as Quimiflex. Vonixx is one of the only car care manufacturers in Brazil.
1741708438-414,https://www.detailingwiki.org/tag/wear-and-tear/,"Conservation is a large part in the detailing process. It prevent wear and tear and is aimed at maintaining the original properties of the object. Conservation can also be financially rewarding, as is the case with most oldtimers or supercars."
1741708249-338,https://www.detailingwiki.org/tag/wetsand-pads/,Articles related to correction
1741709108-781,https://www.detailingwiki.org/tag/vacuum/,"A vacuum cleaner is a device that uses underpressure to suck in air via an attachment (hose). The sucked in air will pull debris and dirt with the in going air, which often ends up in a removable bag. The vacuum cleaner makes it possible to transport material without mechanical cleaning or the use of cleaning liquids."
1741708244-334,https://www.detailingwiki.org/tag/wetsanding/,"Paint can be repaired in several different ways. Some of these paint repair techniques can be done by most people, others should only be done by professional painters. The method needed to fix the paint depends on the severity of the paint imperfection. Some forms of repair are most expensive then others."
1741708193-291,https://www.detailingwiki.org/tag/wheel-arch/,"Paintwork gets cleaned very frequently, but tyres not so much. Everybody who knows the word “detailer” or “valeter” probably knows how to safely remove contaminants from the surface of a vehicle. Even when glass is dirty, you’ll quickly see the streaks and your fingers will be itching to reach for the glass cleaner. Most parts of a vehicles gets cleaned frequently, and we have all kinds of products that help us keep our cars/bikes looking sparkly clean."
1741709186-823,https://www.detailingwiki.org/tag/university/,"Nasiol is a Turkish manufacturer of detailing products, they are very unique in their history and origin. The products they offer are concentrated around the use of synthetic products and nano-technologie."
1741707715-26,https://www.detailingwiki.org/tag/xenon/,"Headlights are often made from plastic, which can turn dull over time. Polishing will remove the matte layer and slowly reveal the clear and transparent finish again."
1741707873-115,https://www.detailingwiki.org/tag/wonder-sponge/,A melamine sponge is white sponge that resembles a foam-like sponge. It is often used to remove stubborn stains and provides strong cleaning power with much less surface imperfections then a scouring pad. It is a common products in a detailers arsenal.
1741709060-748,https://www.detailingwiki.org/tag/valeting-product/,Manufacturers of Detailing related products
1741708537-470,https://www.detailingwiki.org/tag/waterspots/,"Mineral deposits are spots of minerals that are left behind when the carrier evaporated. Although the liquid evaporates, the minerals in that liquid don’t. They are left behind."
1741710099-1136,https://www.detailingwiki.org/tag/timo-klein/,Detail Labs GmbH is a German manufacturer of automotive detailing products which are sold under the trade name “DetailMasters”. The originates from 2009 and was set up by Timo Klein in Germany. The company offers their products through their own webshop.
1741710769-1350,https://www.detailingwiki.org/tag/swissol/,Zymöl is a manufacturer of different car care product and is located in America. The history and links with the Swissvax company has caused for some problems in the past. Zymöl products are generally aimed at varies parts of the detailing process.
1741708532-459,https://www.detailingwiki.org/tag/wax/,"Sam’s Detailing is an English manufacturer of detailing products, established in 2013 and most known for their all-black design and informal approach. One of the most known products is the Sam’s Detailing Ceramic Boost."
1741711030-1523,https://www.detailingwiki.org/tag/stuttgart/,"Kärcher is a German manufacturer of several technical products, most known for its high pressure washers. The company mainly aims at cleaning equipment and has been in service since 1935 by Alfred Kärcher."
1741710578-1250,https://www.detailingwiki.org/tag/technologies/,"Optimum Polymer Technologies Inc is an American manufacturer of detailing products. The company is located in Memphis, USA and is probably most known for their Opticoat and Opti-seal."
1741709431-919,https://www.detailingwiki.org/tag/turbo-shine/,Manufacturers of Detailing related products
1741707677-8,https://www.detailingwiki.org/tag/zurich/,Zymöl is a manufacturer of different car care product and is located in America. The history and links with the Swissvax company has caused for some problems in the past. Zymöl products are generally aimed at varies parts of the detailing process.
1741708715-581,https://www.detailingwiki.org/tag/washing-car/,"The one bucket method is the most used method of washing a car, but is also the least recommended way of washing the car. In this method the user only uses 1 bucket, which doesn’t allow for much rinsing of the sponge/washmitt."
1741708025-180,https://www.detailingwiki.org/tag/winter/,Guides to detailing
1741709651-984,https://www.detailingwiki.org/tag/transparent-coat/,Articles related to correction
1741709197-832,https://www.detailingwiki.org/tag/united-kingdom/,"Chipex Ltd is an UK-based manufacturer of autodetailing products to repair paintdamage, restore paintwork and to remove severe imperfections in the surface of paintwork."
1741708597-517,https://www.detailingwiki.org/tag/water-restriction/,"A rinseless wash is a washing technique that allows you to wash your car in a way that does not require rinsing afterwards. It is not waterless, but rinseless. This way of washing can save on time and/or product and prevents too much chemicals from going down the drain."
1741709754-1043,https://www.detailingwiki.org/tag/towel/,Microfiber Madness is a manufacturer of microfiber products. They specialize in towels and cloths and focus on creating high standard products that are the best in their field.
1741708895-669,https://www.detailingwiki.org/tag/vinyl-wrap/,"Although almost all wraps are made from a PVC type material (vinyl), there can be a big difference in the different types of wrap you can get. The big diversity of wraps are part of their growing succes."
1741709191-827,https://www.detailingwiki.org/tag/united-states/,"Palm Beach Motoring Group, or PBMG, is the largest car care manufacturer, reseller and distributor in America. The company is owned by Vision Investments LLC. and is located in Florida, USA."
1741708231-317,https://www.detailingwiki.org/tag/wetting-agents/,"For defect removal we need at least a polish, a pad and a polishing machine. In this article we describe the materials and reason why to use those materials in particular."
1741707821-79,https://www.detailingwiki.org/tag/workstuff/,"Work Stuff is one of a few Polish manufacturers of detailing equipment. The brand originates from Poland and has ditributors and reseller across Europe. The company focusses mostly towards equipment, accessories and towel. The brand is often recognized because of their destincive yellow color."
1741709857-1071,https://www.detailingwiki.org/tag/top/,Manufacturers of Detailing related products
1741708330-365,https://www.detailingwiki.org/tag/wet-road-spray/,Miscellaneous detailing related content
1741708079-212,https://www.detailingwiki.org/tag/william-phillips/,Manufacturers of Detailing related products
